City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Longyearbyen,SJ,78.2186,15.6401,22.84,86,75,11.5,broken clouds
117,East London,ZA,-33.0153,27.9116,61.74,82,20,14.97,light rain
118,Atlantic Beach,US,30.3344,-81.3987,77.11,92,75,25.32,mist
119,Luderitz,NA,-26.6481,15.1594,65.25,69,80,22.79,broken clouds
120,Alto Araguaia,BR,-17.3147,-53.2153,95.02,24,21,8.25,few clouds
121,Zhanakorgan,KZ,43.9098,67.2495,42.06,63,66,5.01,broken clouds
122,Mahebourg,MU,-20.4081,57.7,76.24,73,20,3.44,few clouds
123,Camacha,PT,33.0833,-16.3333,69.22,68,40,10.36,scattered clouds
124,Srandakan,ID,-7.9386,110.2506,77.27,88,81,3.13,moderate rain
125,Praia,CV,14.9215,-23.5087,84.74,51,0,12.66,clear sky
126,Anadyr,RU,64.75,177.4833,9.1,85,40,2.24,scattered clouds
127,De-Kastri,RU,51.4667,140.7833,22.15,63,4,9.98,clear sky
128,Willowmore,ZA,-33.2926,23.4895,59.9,62,35,19.48,scattered clouds
129,Tonantins,BR,-2.8731,-67.8022,85.57,64,100,0.78,overcast clouds
130,Souillac,MU,-20.5167,57.5167,75.58,73,20,3.44,few clouds
131,Saint George,US,37.1041,-113.5841,43.43,76,0,1.01,clear sky
132,Grindavik,IS,63.8424,-22.4338,44.55,87,75,16.11,broken clouds
133,Aklavik,CA,68.2191,-135.0107,12.2,85,75,4.61,broken clouds
134,Riviere-Au-Renard,CA,48.9957,-64.3971,44.89,69,100,3.89,overcast clouds
135,Adeje,ES,28.1227,-16.726,76.15,74,20,23.02,few clouds
136,Waipawa,NZ,-41.4122,175.5153,50.65,64,85,11.7,overcast clouds
137,Ambon,ID,-3.6954,128.1814,79.23,14,20,5.75,few clouds
138,Carnarvon,AU,-24.8667,113.6333,67.57,72,5,18.66,clear sky
139,Kyzyl-Mazhalyk,RU,51.1333,90.6,4.75,84,86,1.16,overcast clouds
140,Burnie,AU,-41.0667,145.9167,61.95,96,100,4.34,moderate rain
141,Olavarria,AR,-36.8927,-60.3225,79.09,35,100,9.1,overcast clouds
142,Mayo,US,38.8876,-76.5119,67.08,75,10,1.01,clear sky
143,Tura,IN,25.5198,90.2201,65.62,91,6,2.68,clear sky
144,Severo-Kurilsk,RU,50.6789,156.125,36.07,95,71,17.2,moderate rain
145,Bilma,NE,18.6853,12.9164,80.8,14,0,6.71,clear sky
146,Aswan,EG,24.0934,32.907,75.27,31,1,9.55,clear sky
147,Plettenberg Bay,ZA,-34.0527,23.3716,64.85,68,12,20.42,few clouds
148,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,100,100,13.42,shower snow
149,Tomatlan,MX,19.9333,-105.25,79.97,68,5,0.76,clear sky
150,Broome,US,42.2506,-75.833,60.67,63,24,10.0,few clouds
151,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,20,3.44,few clouds
152,Bluff,NZ,-46.6,168.3333,48.96,86,2,5.66,clear sky
153,Sept-Iles,CA,50.2001,-66.3821,41.52,74,100,8.05,overcast clouds
154,Mehamn,NO,71.0357,27.8492,33.75,86,0,10.36,clear sky
155,Matara,LK,5.9485,80.5353,77.43,88,100,4.81,overcast clouds
156,Biograd Na Moru,HR,43.9433,15.4519,63.75,78,100,8.41,overcast clouds
157,Kahului,US,20.8947,-156.47,75.85,68,20,6.91,few clouds
158,Konya,TR,38.1667,32.5,44.08,54,5,4.18,clear sky
159,Muros,ES,42.7762,-9.0603,69.67,86,27,7.65,scattered clouds
160,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,73,40,11.5,scattered clouds
161,Tralee,IE,52.2704,-9.7026,61.05,77,100,20.71,overcast clouds
162,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,5.75,overcast clouds
163,Duki,PK,30.1541,68.5728,64.99,37,15,5.59,few clouds
164,Guiglo,CI,6.5456,-7.4966,87.33,53,50,0.81,scattered clouds
165,Tiksi,RU,71.6872,128.8694,-8.23,97,100,5.88,overcast clouds
166,Ancud,CL,-41.8697,-73.8203,54.03,88,100,5.68,light rain
167,Nizwa,OM,22.9333,57.5333,80.47,38,51,6.02,broken clouds
168,Zhigansk,RU,66.7697,123.3711,1.62,96,100,19.1,light snow
169,Sembe,CG,1.6481,14.5806,75.22,85,98,1.72,overcast clouds
170,Seoul,KR,37.5683,126.9778,53.04,100,41,1.14,mist
171,Yanam,IN,16.7333,82.2167,78.37,68,81,8.48,broken clouds
172,Geraldton,AU,-28.7667,114.6,61.21,94,75,13.8,broken clouds
173,Caravelas,BR,-17.7125,-39.2481,86.09,57,88,10.92,overcast clouds
174,Saldanha,ZA,-33.0117,17.9442,64.15,68,0,13.71,clear sky
175,Hobyo,SO,5.3505,48.5268,81.01,66,48,9.64,scattered clouds
176,Benguela,AO,-12.5763,13.4055,76.86,69,23,9.84,few clouds
177,Kamalpur,IN,24.2,91.8333,66.09,89,0,0.45,clear sky
178,Murgab,TM,37.4966,61.9714,44.47,65,20,0.0,few clouds
179,Leningradskiy,RU,69.3833,178.4167,-0.72,88,100,3.53,overcast clouds
180,Ribeira Grande,PT,38.5167,-28.7,61.2,72,75,17.27,broken clouds
181,Dikson,RU,73.5069,80.5464,2.14,90,38,8.97,scattered clouds
182,Xingyi,CN,24.1877,102.817,50.05,82,0,2.73,clear sky
183,Saint-Georges,GD,12.0564,-61.7485,85.68,74,40,20.71,scattered clouds
184,Olenino,RU,56.2092,33.4889,44.51,92,100,8.37,overcast clouds
185,Touho,NC,-20.7833,165.2333,72.3,78,28,6.85,scattered clouds
186,Boyolangu,ID,-8.1181,111.8935,75.97,91,100,1.97,overcast clouds
187,Quatre Cocos,MU,-20.2078,57.7625,76.08,75,9,11.61,clear sky
188,Barrow,US,71.2906,-156.7887,26.62,86,100,18.41,overcast clouds
189,Zeya,RU,53.75,127.2667,9.14,95,14,2.86,few clouds
190,Rastolita,RO,46.9726,24.9929,48.54,80,93,1.3,overcast clouds
191,College,US,64.8569,-147.8028,19.35,89,100,0.0,light snow
192,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,20,9.22,few clouds
193,Nikolskoye,RU,59.7035,30.7861,49.91,93,100,6.13,overcast clouds
194,Dalvik,IS,65.9702,-18.5286,40.93,99,100,19.04,moderate rain
195,Sinnamary,GF,5.3833,-52.95,84.18,70,98,7.47,overcast clouds
196,Gizo,SB,-8.103,156.8419,81.73,79,95,7.38,moderate rain
197,Port Hardy,CA,50.6996,-127.4199,39.38,81,75,14.97,broken clouds
198,Krasnoselkup,RU,65.7,82.4667,-2.63,95,100,6.2,overcast clouds
199,Limaong,PH,7.3606,122.3664,79.88,84,99,3.36,overcast clouds
200,Nome,US,64.5011,-165.4064,24.87,86,100,0.0,overcast clouds
201,Ostrovnoy,RU,68.0531,39.5131,34.48,86,84,6.33,broken clouds
202,Taldan,RU,53.6667,124.8,5.45,96,8,2.17,clear sky
203,Baturaja,ID,-4.1333,104.1667,73.78,94,98,1.9,overcast clouds
204,Oistins,BB,13.0667,-59.5333,82.49,78,20,13.8,few clouds
205,Masterton,NZ,-40.9597,175.6575,51.48,66,100,7.05,overcast clouds
206,Zabid,YE,14.1951,43.3152,84.07,62,90,12.5,overcast clouds
207,Xai-Xai,MZ,-25.0519,33.6442,75.15,84,94,17.07,overcast clouds
208,Arman,RU,59.7,150.1667,-4.99,84,5,13.13,clear sky
209,Cabo San Lucas,MX,22.8909,-109.9124,78.51,66,75,13.8,broken clouds
210,Pevek,RU,69.7008,170.3133,-4.07,98,100,3.18,overcast clouds
211,Kholm,RU,59.2667,32.85,45.25,95,100,6.2,overcast clouds
212,Beringovskiy,RU,63.05,179.3167,10.72,92,60,5.99,broken clouds
213,Saskylakh,RU,71.9167,114.0833,-25.58,100,59,4.74,broken clouds
214,Norman Wells,CA,65.282,-126.8329,8.64,85,75,2.3,broken clouds
215,Adrar,MR,20.5022,-10.0711,87.94,9,6,17.13,clear sky
216,Bredasdorp,ZA,-34.5322,20.0403,63.95,67,24,23.42,few clouds
217,Ngunguru,NZ,-35.6167,174.5,61.11,97,100,28.43,light rain
218,Muli,MV,2.9167,73.5667,80.35,76,100,7.81,overcast clouds
219,Bubaque,GW,11.2833,-15.8333,82.74,66,30,8.25,scattered clouds
220,New Albany,US,38.2856,-85.8241,70.02,43,75,9.22,broken clouds
221,Henties Bay,NA,-22.116,14.2845,62.6,78,5,10.78,clear sky
222,Makakilo City,US,21.3469,-158.0858,73.69,81,0,4.61,clear sky
223,Khoy,IR,38.5504,44.9535,50.2,61,100,1.86,overcast clouds
224,Zhanaozen,KZ,43.3,52.8,42.66,60,100,10.16,overcast clouds
225,Faya,SA,18.3851,42.4509,64.51,69,6,5.35,clear sky
226,Olafsvik,IS,64.8945,-23.7142,40.32,91,100,39.48,overcast clouds
227,Huiloapan,MX,18.75,-97.3167,64.0,53,0,3.44,clear sky
228,New Norfolk,AU,-42.7826,147.0587,65.7,63,100,1.01,overcast clouds
229,Kuusamo,FI,65.9667,29.1833,30.24,93,100,5.75,overcast clouds
230,Husavik,IS,66.0449,-17.3389,41.41,97,100,25.99,overcast clouds
231,Pontianak,ID,-0.0333,109.3333,78.78,94,75,9.22,moderate rain
232,Baghmara,IN,23.795,86.2085,70.48,52,1,6.15,clear sky
233,Pacifica,US,37.6138,-122.4869,52.77,84,20,11.99,few clouds
234,Naze,JP,28.3667,129.4833,72.52,79,23,10.27,few clouds
235,Aripuana,BR,-9.1667,-60.6333,99.54,31,13,4.52,few clouds
236,Kurchum,KZ,48.5722,83.6542,30.13,62,50,6.69,scattered clouds
237,Puerto Ayora,EC,-0.7393,-90.3518,73.36,82,91,8.01,overcast clouds
238,Magnolia,US,33.2671,-93.2393,65.88,55,11,5.99,few clouds
239,Dalianwan,CN,39.0286,121.695,57.24,88,40,6.71,mist
240,Chokurdakh,RU,70.6333,147.9167,-13.54,100,99,8.34,overcast clouds
241,Russell,US,32.3502,-85.1999,68.38,64,75,14.97,broken clouds
242,Port Hedland,AU,-20.3167,118.5667,71.65,78,0,12.66,clear sky
