City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
623,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
626,Mogadishu,SO,79.56,broken clouds,2.0371,45.3438,Hotel Juba
628,Ratnagiri,IN,77.09,clear sky,16.9833,73.3,Hotel Landmark
637,Biak,ID,77.0,light rain,-0.9131,122.8766,Penginapan Kim
638,Cururupu,BR,89.64,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
639,Kerouane,GN,84.54,clear sky,9.2667,-9.0167,Hotel Seka Seka
642,Mazagao,BR,89.65,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
643,Belmonte,BR,82.81,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
644,Buala,SB,78.3,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
649,Manali,IN,77.09,overcast clouds,13.1667,80.2667,Sarathy Lodge
653,Guane,CU,84.79,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
658,Pamanukan,ID,79.05,light rain,-6.2842,107.8106,Paris Day Hotel Pamanukan
663,Tautira,PF,76.41,light rain,-17.7333,-149.15,Pension Oaoa
667,Mocuba,MZ,75.52,light rain,-16.8392,36.9856,Phama Lodge
669,Kieta,PG,78.69,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
674,Jeremie,HT,84.06,clear sky,18.65,-74.1167,Auberge’Inn
676,Coahuayana,MX,86.43,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
681,High Rock,BS,82.42,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
687,Maragogi,BR,82.99,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
688,Ubatuba,BR,76.78,clear sky,-23.4339,-45.0711,Hotel Coquille
691,Namatanai,PG,79.25,light rain,-3.6667,152.4333,Seagulls Inn Namatani
696,Siocon,PH,78.66,overcast clouds,7.7061,122.1353,ABS Hotel
